,names,prices,images
0,Yamaha MT 15 V2,"₹ 1,69,007Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
1,TVS Raider 125,"₹ 97,071Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
2,Royal Enfield Hunter 350,"₹ 1,49,900Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
3,Bajaj Pulsar NS400Z,"₹ 1,83,563Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
4,Honda SP 125,"₹ 86,747Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
5,Yamaha R15 V4,"₹ 1,83,154Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
6,Hero Xtreme 125R,"₹ 96,805Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
7,Bajaj Pulsar N160,"₹ 1,22,959Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
8,BMW S 1000 XR,"₹ 22,50,000Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
9,Harley-Davidson X440,"₹ 2,39,500Onwards",https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
